RunID,UserID,Distance,RunTime,Date,Location,Image,Post,Likes
17,69,12.9,1:41:16,2020-02-02 06:54:05,"Craigsville, VA",,"Sed nunc felis, varius nec diam viverra, tempus vulputate mauris. Morbi scelerisque hendrerit pretium.",0
18,14,3.5,0:24:16,2019-06-26 17:11:41,"State College, PA",,"Cras convallis erat et ante maximus dapibus. Quisque pharetra est augue, et bibendum quam pulvinar ac. Etiam ullamcorper porttitor quam laoreet porta.",0
19,4,11.3,2:03:55,2018-01-24 13:57:55,"West Roxbury, MA",IMG0005,"Nulla facilisi. Sed et lacus ac ligula congue posuere eu ut risus. Donec vehicula massa a est tristique, et tristique metus consectetur. Donec ac porta turpis. Vestibulum vitae ullamcorper mi.",0
20,28,4.9,0:42:38,2018-01-29 15:14:56,"Donna, TX",IMG0006,Integer euismod in magna in auctor. Nunc in elit ac arcu aliquam pharetra.,0
21,91,3.2,0:34:37,2018-07-08 08:46:05,"Apison, TN",IMG0007,,0
22,99,4.3,0:46:44,2019-10-11 09:08:39,"Huntsville, AL",IMG0008,"Vivamus hendrerit diam ac venenatis consectetur. Sed pharetra, tortor nec elementum molestie, ipsum lorem commodo orci, non finibus lorem eros quis nulla.",0
23,60,10.4,1:46:26,2019-03-13 20:39:13,"Memphis, TN",IMG0009,"Vestibulum gravida eros ut augue suscipit, in porta nibh eleifend. Aliquam sed justo mauris. Vestibulum quis massa eros. Pellentesque urna nibh, ornare quis volutpat at, scelerisque non enim.",0
24,35,13.1,1:52:00,2018-10-24 04:03:59,"Yakima, WA",,"Sed et lacus ac ligula congue posuere eu ut risus. Ut pharetra, ligula in luctus consequat, lorem magna accumsan ligula, eu sollicitudin eros dolor a sapien. Mauris ultrices viverra viverra. Suspendisse in turpis dignissim, suscipit nibh eget, maximus est. Duis blandit sagittis facilisis.",0
25,50,14.9,1:31:08,2020-01-22 21:16:46,"Balmorhea, TX",,,0
26,24,12.6,2:13:46,2019-03-03 08:00:01,"Jersey City, NJ",IMG0010,"Sed id pellentesque arcu. Nullam eu congue nulla. Fusce congue sapien ut sapien varius, eu sagittis diam consequat. Morbi congue eleifend augue, ac dignissim velit mollis vel. Mauris lacus nulla, mollis vel felis eu, pretium convallis velit.",0
27,73,2.2,0:28:14,2018-06-10 06:45:56,"Philadelphia, PA",IMG0011,"Cras id diam tortor. Donec efficitur, enim posuere lacinia consectetur, ligula mi tempus augue, et dapibus magna justo non nibh. Sed nunc felis, varius nec diam viverra, tempus vulputate mauris.",0
28,71,4.3,0:35:59,2018-06-10 20:17:11,"St Augustine, FL",IMG0012,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum gravida eros ut augue suscipit, in porta nibh eleifend. Phasellus aliquam pharetra mauris at consequat.",0
29,93,11.3,1:49:25,2019-12-25 08:29:35,"New York, NY",,"Aliquam pretium magna id consectetur congue. Etiam dignissim pharetra commodo. Quisque lobortis, augue et laoreet consectetur, nunc elit mollis ex, quis venenatis est neque quis est.",0
30,41,3.3,0:30:58,2019-10-31 01:07:32,"Tyndall, SD",IMG0013,"Fusce vulputate, felis ac efficitur tristique, enim odio placerat lorem, nec eleifend augue justo ac nulla. Donec ac porta turpis.",0
31,1,12.0,1:18:36,2019-02-01 09:22:49,"Kirkwood, MO",IMG0014,"Fusce congue sapien ut sapien varius, eu sagittis diam consequat. Vestibulum erat nunc, faucibus nec fermentum et, vestibulum sit amet orci.",0
32,9,5.3,0:56:53,2019-11-27 13:38:53,"Santa Ana, CA",,Mauris sed dui sed lacus vulputate ornare non porta quam. Praesent at elit a ante cursus mollis id et erat.,0
33,56,13.1,1:37:10,2018-03-19 14:59:57,"Raleigh, MS",IMG0015,,0
34,59,13.4,2:04:24,2019-08-29 23:48:22,"Los Angeles, CA",,"Aenean non luctus velit. Vestibulum quis massa eros. Phasellus malesuada nunc at volutpat commodo. Donec et est at tortor vulputate tempus. Nulla viverra mauris in justo tincidunt, quis cursus massa sagittis.",0
35,53,2.2,0:17:56,2019-09-12 06:37:59,"Metairie, LA",IMG0016,,0
36,6,5.0,0:44:55,2019-03-26 13:54:37,"Scotland, AR",,"Donec ac porta turpis. Donec vehicula massa a est tristique, et tristique metus consectetur. Nullam eu congue nulla. Vestibulum ultrices quam ultricies, dictum dolor at, tempor elit.",0
37,11,1.9,0:14:15,2018-04-23 08:03:43,"Houston, TX",,"Integer euismod in magna in auctor. Aenean blandit massa eget aliquam ultrices. Vestibulum leo nibh, convallis vitae ligula venenatis, convallis pharetra tortor. Nunc dui nulla, dignissim nec risus eu, pharetra faucibus tortor. Donec tempus, est eu varius pellentesque, nisi augue tincidunt velit, eu suscipit odio velit ut felis.",0
38,78,3.4,0:23:51,2020-01-14 20:16:36,"Minneapolis, MN",IMG0017,"Duis blandit sagittis facilisis. Quisque pharetra est augue, et bibendum quam pulvinar ac.",0
39,43,12.2,1:20:19,2018-03-11 00:53:46,"Boca Raton, FL",,,0
40,46,3.5,0:28:32,2019-12-28 11:03:39,"San Ramon, CA",,"Aenean blandit massa eget aliquam ultrices. Etiam ullamcorper porttitor quam laoreet porta. In tincidunt velit pretium, sodales lectus eu, lobortis sapien. Phasellus nibh lorem, pellentesque ac aliquet et, vulputate nec orci.",0
41,33,5.8,0:54:08,2018-12-04 08:35:30,"New Orleans, LA",IMG0018,"Vivamus nibh ante, dapibus nec mauris nec, elementum ornare purus. Aliquam imperdiet tempus purus vitae tempor. Integer commodo tincidunt felis, id scelerisque ipsum pulvinar non. Etiam tempor imperdiet porta. Cras dapibus justo non dolor rhoncus gravida.",0
42,19,5.9,1:02:03,2018-07-07 17:10:16,"Chicago, IL",IMG0019,,0
43,3,2.3,0:19:31,2019-05-04 07:34:13,"Little Rock, AR",,"Proin vel tempus erat. Cras ut nibh sem. Praesent sed venenatis est. Fusce vulputate, felis ac efficitur tristique, enim odio placerat lorem, nec eleifend augue justo ac nulla. In felis felis, auctor vitae ipsum in, malesuada dapibus velit.",0
44,12,4.4,0:49:12,2019-10-13 13:49:39,"Lynchburg, VA",,"Proin convallis tincidunt velit, non consectetur elit ornare vel. Etiam ullamcorper porttitor quam laoreet porta. Integer euismod in magna in auctor. Duis vel sem quis diam cursus ornare. Donec commodo mi ac massa suscipit, eu molestie velit ultrices.",0
45,64,7.6,1:10:10,2019-02-05 04:34:15,"Tucson, AZ",,"Morbi imperdiet augue nibh, eget consequat enim hendrerit et. Vestibulum ultrices quam ultricies, dictum dolor at, tempor elit. Lorem ipsum dolor sit amet, consectetur adipiscing elit.",0
46,58,11.3,1:46:36,2019-01-17 13:12:55,"Ft Lauderdale, FL",IMG0020,"Aenean auctor venenatis ante et tincidunt. Fusce dignissim vel nunc in dictum. Praesent elementum est ligula, vel cursus augue finibus eu. Cras placerat at dolor in congue.",0
47,18,13.2,2:27:37,2018-08-18 01:34:22,"Mcveytown, PA",IMG0021,"Donec non vulputate quam, et maximus dolor. Nam rhoncus lacinia dolor. Etiam tempor imperdiet porta. Sed nunc felis, varius nec diam viverra, tempus vulputate mauris. Phasellus vel imperdiet quam.",0
48,49,3.0,0:38:48,2019-09-10 14:23:16,"Parsippany, NJ",,"Vestibulum leo nibh, convallis vitae ligula venenatis, convallis pharetra tortor. Fusce vulputate, felis ac efficitur tristique, enim odio placerat lorem, nec eleifend augue justo ac nulla. In gravida volutpat neque ut euismod. Mauris lacus nulla, mollis vel felis eu, pretium convallis velit.",0
49,77,7.1,0:49:21,2018-08-20 16:46:16,"Cedar City, UT",IMG0022,Donec pretium venenatis ultricies.,0
50,30,12.9,1:38:15,2019-02-28 13:22:18,"Boston, MA",,,0
51,36,14.2,2:01:25,2019-06-10 13:04:04,"West Palm Beach, FL",,"Fusce ac lectus. Sed ex mauris, maximus nec scelerisque eget, ultrices sit amet ex. Curabitur dapibus id orci et hendrerit. Vestibulum quis massa eros. Etiam vitae sollicitudin urna.",0
52,0,9.2,1:41:30,2019-12-20 13:51:27,"Wausau, WI",IMG0023,Vestibulum quis massa eros.,0
53,94,1.6,0:11:23,2018-02-27 21:25:57,"Crown Point, IN",,"Etiam blandit, arcu ut pharetra molestie, tortor felis pulvinar purus, sit amet egestas justo dolor eget nibh.",0
54,72,4.8,0:42:00,2020-02-15 14:30:07,"Richmond, CA",IMG0024,,0
55,89,8.0,1:04:32,2018-07-31 03:58:54,"Flattop Butte, UT",,,0
56,42,7.9,1:27:34,2019-06-11 17:10:47,"Pittsburgh, PA",IMG0025,"Praesent a lacus vel velit ullamcorper venenatis. In pharetra leo non nibh auctor, sit amet dictum lacus vestibulum. Sed accumsan risus vitae lacus bibendum, porta aliquam metus imperdiet. Nunc dui nulla, dignissim nec risus eu, pharetra faucibus tortor. In gravida volutpat neque ut euismod.",0
57,65,7.8,1:22:33,2019-08-22 17:55:40,"Santa Clara, CA",,"Cras egestas sit amet ligula a dapibus. Phasellus nibh lorem, pellentesque ac aliquet et, vulputate nec orci.",0
58,37,8.1,1:28:17,2018-05-04 01:16:18,"Nashville, TN",IMG0026,"Fusce porta, lectus id sagittis placerat, mi lorem placerat diam, in condimentum tortor nunc eu risus. Praesent at nunc fringilla, efficitur ipsum dapibus, auctor tellus. Nullam mollis ex non malesuada tempor. Duis vel sem quis diam cursus ornare.",0
59,74,3.4,0:38:18,2018-07-20 21:06:50,"Waterville, ME",IMG0027,Donec consequat arcu quis metus pharetra fringilla.,0
60,17,7.6,1:27:16,2018-05-08 02:50:03,"Salina, KS",,"Nunc non mollis augue. Suspendisse potenti. Vestibulum rhoncus nisl vel dolor iaculis, feugiat finibus neque euismod. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam pretium magna id consectetur congue.",0
61,40,7.8,1:03:26,2018-07-24 13:55:59,"Baltimore, MD",IMG0028,"Vestibulum gravida eros ut augue suscipit, in porta nibh eleifend. Etiam vitae sollicitudin urna.",0
62,61,6.4,0:48:26,2019-02-22 04:17:35,"Chicago, IL",IMG0029,"Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Aenean auctor venenatis ante et tincidunt.",0
63,82,7.7,1:34:04,2019-10-14 15:01:49,"Fort Lauderdale, FL",,Duis blandit sagittis facilisis.,0
64,5,11.3,2:02:02,2020-02-23 07:28:43,"Plainville, CT",,"Nullam eu ullamcorper neque. Ut imperdiet hendrerit elit, ut hendrerit sapien commodo vitae. Donec cursus sed mi pretium maximus.",0
65,62,3.0,0:37:45,2019-04-09 12:49:34,"New York, NY",,,0
66,45,9.7,1:31:30,2018-05-29 01:00:30,"Little Rock, AR",IMG0030,Morbi scelerisque hendrerit pretium.,0
67,90,11.7,1:45:30,2018-01-13 17:43:54,"Palm Springs, CA",IMG0031,"Aliquam enim eros, luctus et fermentum sed, imperdiet at dolor.",0
68,66,6.8,0:46:14,2020-01-22 10:37:41,"Buffalo, NY",,"Donec vehicula massa a est tristique, et tristique metus consectetur. Duis vel sem quis diam cursus ornare.",0
69,96,10.4,1:29:16,2018-06-26 17:41:39,"Miami, FL",,,0
70,70,1.6,0:10:54,2018-05-11 01:18:00,"San Jose, CA",IMG0032,"Aliquam enim eros, luctus et fermentum sed, imperdiet at dolor. Nullam eu pulvinar tortor.",0
71,23,13.2,2:31:48,2019-10-09 02:37:41,"Los Angeles, CA",IMG0033,"Fusce dignissim vel nunc in dictum. Vestibulum rhoncus nisl vel dolor iaculis, feugiat finibus neque euismod.",0
72,22,10.8,2:00:58,2018-02-21 08:15:19,"Fountain, NC",,Maecenas interdum porttitor urna ac dapibus. Aenean id risus at enim faucibus congue.,0
73,8,13.5,2:51:54,2018-11-03 15:27:35,"Fairmount, IL",,Quisque consequat elementum malesuada. Sed tincidunt et tellus eget suscipit.,0
74,87,6.3,0:52:36,2018-11-27 00:26:37,"Huntsville, AL",IMG0034,"In hac habitasse platea dictumst. Donec cursus sed mi pretium maximus. Fusce vulputate, felis ac efficitur tristique, enim odio placerat lorem, nec eleifend augue justo ac nulla. Etiam elementum mattis tellus ac ultricies.",0
75,48,14.2,2:09:56,2020-02-23 05:48:35,"Sioux Center, IA",IMG0035,Phasellus aliquam pharetra mauris at consequat.,0
76,54,11.0,1:10:35,2020-01-17 07:52:13,"San Jose, CA",IMG0036,"Cras pellentesque leo risus, et volutpat orci mollis et.",0
77,79,11.4,1:46:01,2019-06-16 10:21:25,"Bedford, MA",,Donec et mi magna.,0
78,47,15.0,2:31:15,2019-08-11 13:08:44,"Santa Clara, CA",IMG0037,Donec consequat arcu quis metus pharetra fringilla. Morbi scelerisque hendrerit pretium.,0
79,29,3.2,0:39:57,2019-06-15 20:37:49,"Bronx, NY",,,0
80,20,6.5,0:48:00,2019-04-01 06:12:55,"Golden Valley, MN",IMG0038,"Vestibulum ultrices quam ultricies, dictum dolor at, tempor elit. In elit odio, dignissim et interdum in, ornare quis sem. Quisque pharetra est augue, et bibendum quam pulvinar ac. Cras pellentesque leo risus, et volutpat orci mollis et.",0
81,80,10.5,1:41:30,2019-04-26 12:54:45,"Quincy, KS",IMG0039,"Integer molestie enim vitae commodo suscipit. Vivamus accumsan sit amet nunc ut tincidunt. Sed accumsan risus vitae lacus bibendum, porta aliquam metus imperdiet.",0
82,85,4.3,0:31:54,2018-06-02 00:39:20,"Los Angeles, CA",IMG0040,Cras convallis erat et ante maximus dapibus. Nunc vehicula placerat orci ac congue.,0
83,92,4.9,0:40:35,2018-08-29 15:15:49,"Columbia, SC",IMG0041,"Proin sed imperdiet mauris. Integer euismod in magna in auctor. Donec vehicula massa a est tristique, et tristique metus consectetur.",0
84,15,6.5,1:11:04,2018-01-13 17:58:27,"Shamokin, PA",IMG0042,"Aenean leo purus, bibendum et ornare ac, dictum nec tortor. Maecenas interdum varius imperdiet. Cras id ornare nisi. Nullam eu ullamcorper neque. Phasellus malesuada nunc at volutpat commodo.",0
85,13,10.6,1:34:10,2019-05-14 14:41:52,"Atlanta, GA",IMG0043,"Nullam fermentum imperdiet molestie. Fusce dignissim vel nunc in dictum. Duis vel sem quis diam cursus ornare. Aliquam erat volutpat. Duis nisl nisl, rutrum ac interdum ut, egestas ac purus.",0
86,88,14.6,2:44:00,2018-11-09 17:51:32,"Amarillo, TX",,"Fusce vulputate, felis ac efficitur tristique, enim odio placerat lorem, nec eleifend augue justo ac nulla. Etiam tempor imperdiet porta.",0
87,86,12.3,2:22:41,2019-09-26 11:02:21,"Portland, OR",IMG0044,,0
88,83,13.3,2:00:35,2019-04-01 07:14:43,"Philadelphia, PA",IMG0045,"Phasellus nibh lorem, pellentesque ac aliquet et, vulputate nec orci. Integer luctus augue augue, scelerisque dignissim velit laoreet at. Aenean blandit massa eget aliquam ultrices. Vestibulum gravida eros ut augue suscipit, in porta nibh eleifend.",0
89,10,14.2,1:56:12,2019-05-24 08:00:36,"Winchester, KY",IMG0046,"Proin gravida, dui et posuere ullamcorper, eros libero mattis turpis, non lacinia risus metus in lectus. Sed et lacus ac ligula congue posuere eu ut risus. Duis nisl nisl, rutrum ac interdum ut, egestas ac purus. Vivamus nibh ante, dapibus nec mauris nec, elementum ornare purus. Suspendisse potenti.",0
90,68,10.6,1:21:16,2019-07-22 18:54:49,"Burlington, MA",,"In felis felis, auctor vitae ipsum in, malesuada dapibus velit.",0
91,34,6.8,0:56:47,2018-03-25 18:41:30,"Buffalo, NY",IMG0047,"Etiam blandit, arcu ut pharetra molestie, tortor felis pulvinar purus, sit amet egestas justo dolor eget nibh. Morbi blandit egestas ante nec aliquam. Sed mauris eros, facilisis finibus ante eu, gravida congue nibh. Nullam eu ullamcorper neque. Aenean auctor venenatis ante et tincidunt.",0
92,52,11.5,1:19:10,2018-06-09 07:00:26,"Madison, WI",,"Proin gravida, dui et posuere ullamcorper, eros libero mattis turpis, non lacinia risus metus in lectus. Suspendisse potenti.",0
93,57,8.7,1:35:42,2020-01-06 08:52:43,"Garden City, NY",IMG0048,"Vestibulum ultrices quam ultricies, dictum dolor at, tempor elit.",0
94,76,11.6,2:14:57,2018-07-12 18:40:29,"West Nyack, NY",IMG0049,"Integer commodo tincidunt felis, id scelerisque ipsum pulvinar non. Curabitur dapibus id orci et hendrerit.",0
95,49,9.7,1:37:00,2019-06-21 18:08:13,"East Lansing, MI",IMG0050,Donec pretium venenatis ultricies. Donec et est at tortor vulputate tempus. Duis vel sem quis diam cursus ornare. Curabitur dapibus id orci et hendrerit.,0
96,80,12.4,1:55:19,2018-03-24 00:17:23,"Albany, NY",,"Sed accumsan risus vitae lacus bibendum, porta aliquam metus imperdiet. Curabitur dapibus id orci et hendrerit.",0
97,27,3.4,0:37:51,2018-12-06 13:39:25,"Murphysboro, IL",IMG0051,"Donec eget odio lectus. Aliquam a suscipit eros. Maecenas faucibus eros ultrices leo fringilla gravida. Integer luctus augue augue, scelerisque dignissim velit laoreet at. Aliquam enim eros, luctus et fermentum sed, imperdiet at dolor.",0
98,33,14.8,2:07:02,2019-01-26 11:48:21,"Des Moines, IA",IMG0052,"Proin sed imperdiet mauris. Vestibulum rhoncus nisl vel dolor iaculis, feugiat finibus neque euismod. Nullam eu congue nulla. Phasellus malesuada nunc at volutpat commodo.",0
99,39,7.6,0:51:10,2019-11-05 07:53:29,"Foxboro, MA",,Aenean congue faucibus ex non mattis. Aliquam imperdiet tempus purus vitae tempor.,0
100,34,3.5,0:41:53,2019-07-10 10:06:58,"Beaumont, TX",,"Integer commodo tincidunt felis, id scelerisque ipsum pulvinar non. Mauris sed dui sed lacus vulputate ornare non porta quam. Interdum et malesuada fames ac ante ipsum primis in faucibus.",0
101,93,13.7,2:34:49,2018-05-31 15:08:13,"North Highlands, CA",IMG0053,In gravida volutpat neque ut euismod.,0
102,85,12.8,1:33:39,2018-08-30 19:03:58,"Phoenix, AZ",IMG0054,,0
103,47,7.5,0:48:45,2018-02-05 22:49:42,"Brookfield, VT",IMG0055,"Fusce porta, lectus id sagittis placerat, mi lorem placerat diam, in condimentum tortor nunc eu risus. Etiam vitae sollicitudin urna. In elit odio, dignissim et interdum in, ornare quis sem. In felis felis, auctor vitae ipsum in, malesuada dapibus velit. In placerat, felis convallis eleifend auctor, lectus eros ullamcorper nunc, ac eleifend justo metus lobortis magna.",0
104,82,10.1,1:46:23,2018-05-28 01:54:38,"Weiser, ID",IMG0056,"Proin convallis tincidunt velit, non consectetur elit ornare vel. Interdum et malesuada fames ac ante ipsum primis in faucibus.",0
105,47,9.0,1:18:09,2019-07-11 07:50:17,"Gainesville, FL",IMG0057,"Quisque egestas sem ut tellus posuere, at fringilla quam feugiat. Praesent elementum est ligula, vel cursus augue finibus eu.",0
106,52,6.6,1:21:11,2020-02-13 10:59:43,"White Plains, NY",IMG0058,Quisque laoreet lacus eu mi hendrerit auctor.,0
107,65,3.2,0:41:23,2019-04-12 07:09:12,"Akron, OH",,Nulla facilisi.,0
108,66,12.2,2:29:03,2018-12-28 06:07:16,"Columbus, OH",,,0
109,69,1.3,0:10:15,2018-05-29 01:44:36,"Brooklyn, NY",IMG0059,"Sed ex mauris, maximus nec scelerisque eget, ultrices sit amet ex.",0
110,69,13.0,2:16:56,2019-02-06 16:34:09,"Teterboro, NJ",,"Vivamus hendrerit diam ac venenatis consectetur. Sed pharetra, tortor nec elementum molestie, ipsum lorem commodo orci, non finibus lorem eros quis nulla. Quisque egestas sem ut tellus posuere, at fringilla quam feugiat. Quisque efficitur diam ornare, vestibulum tellus vel, finibus nibh.",0
111,23,6.1,0:49:18,2018-08-13 03:33:27,"Wrightwood, CA",,"In placerat, felis convallis eleifend auctor, lectus eros ullamcorper nunc, ac eleifend justo metus lobortis magna.",0
112,75,2.1,0:13:39,2018-10-17 10:27:16,"Charlotte, NC",,"Aenean leo purus, bibendum et ornare ac, dictum nec tortor. Fusce porta, lectus id sagittis placerat, mi lorem placerat diam, in condimentum tortor nunc eu risus. Nunc in elit ac arcu aliquam pharetra.",0
113,0,9.6,1:02:14,2018-11-15 14:52:13,"Jacksonville, FL",IMG0060,,0
114,14,4.3,0:55:20,2018-12-19 19:12:20,"Arlington, TX",IMG0061,,0
115,19,12.9,1:25:21,2019-09-19 01:01:20,"Twin Falls, ID",,"Sed et lacus ac ligula congue posuere eu ut risus. In placerat, felis convallis eleifend auctor, lectus eros ullamcorper nunc, ac eleifend justo metus lobortis magna.",0
116,66,6.5,0:47:14,2018-10-13 06:33:57,"Binghamton, NY",,"Proin sed imperdiet mauris. Vestibulum quis massa eros. Fusce congue sapien ut sapien varius, eu sagittis diam consequat. Morbi vel nunc lacus.",0
117,35,14.6,2:04:35,2019-09-16 13:31:23,"Elk City, OK",IMG0062,,0
118,58,8.2,1:31:18,2018-06-15 14:04:59,"Beltsville, DC",IMG0063,"Nunc in elit ac arcu aliquam pharetra. Nulla facilisi. Vestibulum gravida eros ut augue suscipit, in porta nibh eleifend.",0
119,33,0.6,0:04:53,2020-01-17 05:34:33,"Johnson City, TN",,"Sed at dolor a nisi consequat ultrices interdum sed mauris. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi congue eleifend augue, ac dignissim velit mollis vel.",0
120,17,13.8,2:31:48,2019-10-25 22:55:49,"Richmond, VA",IMG0064,,0
121,19,13.4,1:54:07,2019-09-19 16:00:26,"Gainesville, GA",IMG0065,"Suspendisse condimentum sed nisi et porttitor. Aenean congue faucibus ex non mattis. Vestibulum vitae ullamcorper mi. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Etiam pellentesque, nulla ac sagittis condimentum, nulla nisl condimentum turpis, et laoreet justo lacus nec mauris.",0
122,36,7.2,1:17:38,2019-07-13 11:05:10,"Memphis, TN",,Donec eget odio lectus.,0
123,97,10.1,1:02:47,2019-12-05 13:31:42,"Aurora, CO",,Nullam nec libero sed risus vehicula vulputate.,0
124,54,1.1,0:10:19,2018-10-09 19:13:02,"Clifton, TN",IMG0066,Cras egestas sit amet ligula a dapibus.,0
125,40,2.9,0:37:13,2019-11-11 22:11:58,"Orem, UT",IMG0067,Morbi scelerisque hendrerit pretium.,0
126,88,11.7,1:21:42,2018-07-04 01:26:51,"New York, NY",,"Suspendisse sodales sit amet libero at dignissim. Nulla viverra mauris in justo tincidunt, quis cursus massa sagittis. Curabitur elementum convallis felis eu blandit. Praesent at elit a ante cursus mollis id et erat. Morbi imperdiet augue nibh, eget consequat enim hendrerit et.",0
127,21,0.8,0:05:56,2018-05-05 00:49:36,"Cheyenne, WY",,"Nullam mollis ex non malesuada tempor. Aenean aliquet nisl erat, vel molestie neque congue sed. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam erat volutpat.",0
128,13,3.2,0:41:26,2019-06-08 15:09:05,"Cleveland, OH",,"Aenean luctus est eu neque ultrices iaculis. Aliquam erat volutpat. Pellentesque tincidunt pharetra magna, non maximus eros congue nec. Sed ac fringilla massa.",0
129,19,14.8,2:46:45,2018-03-10 04:49:13,"New York, NY",,Nullam eu pulvinar tortor. Quisque efficitur pellentesque eros sit amet aliquet.,0
130,68,14.3,1:26:45,2018-10-31 17:43:25,"Freeport, TX",,"Pellentesque tincidunt pharetra magna, non maximus eros congue nec. Sed accumsan risus vitae lacus bibendum, porta aliquam metus imperdiet. Phasellus malesuada nunc at volutpat commodo. Vivamus sagittis massa et turpis elementum, nec dictum augue sodales.",0
131,89,8.0,1:39:04,2018-09-10 08:52:50,"Wood Dale, IL",,Cras id ornare nisi.,0
132,95,3.6,0:37:44,2019-04-03 05:33:39,"Huntington, NY",,,0
133,74,3.5,0:43:28,2018-04-25 22:55:05,"Seattle, WA",,,0
134,36,2.3,0:22:19,2019-01-05 18:23:38,"La Mesa, CA",IMG0068,,0
